method,statistic,p.value,retained_grid_points,kind,scenario,n,effect,repetition,B,seed
first-order trigonometric moment diagnostic,0.00790693157706306,0.956,NA,null,N1_uniform_uniform,100,0,49,499,20461096
HSIC fixed,0.250439116855351,0.468,NA,null,N1_uniform_uniform,100,0,50,499,20461106
HSIC median,0.0022965766185093,0.35,NA,null,N1_uniform_uniform,100,0,50,499,20461106
HSIC standardized multi-scale,0.50608794704018,0.452,7,null,N1_uniform_uniform,100,0,50,499,20461106
naive Euclidean-angle HSIC anti-example,0.000776022288447815,0.814,NA,null,N1_uniform_uniform,100,0,50,499,20461106
first-order trigonometric moment diagnostic,0.0494425336120403,0.32,NA,null,N1_uniform_uniform,100,0,50,499,20461106
HSIC fixed,0.24841872197477,0.516,NA,null,N1_uniform_uniform,100,0,51,499,20461116
HSIC median,0.000952668890826269,0.854,NA,null,N1_uniform_uniform,100,0,51,499,20461116
HSIC standardized multi-scale,2.10277011090198,0.064,6,null,N1_uniform_uniform,100,0,51,499,20461116
naive Euclidean-angle HSIC anti-example,0.000286438493597769,0.988,NA,null,N1_uniform_uniform,100,0,51,499,20461116
first-order trigonometric moment diagnostic,0.00354248820488654,0.994,NA,null,N1_uniform_uniform,100,0,51,499,20461116
HSIC fixed,0.427889712321452,0.052,NA,null,N1_uniform_uniform,100,0,52,499,20461126
HSIC median,0.00371303903567627,0.082,NA,null,N1_uniform_uniform,100,0,52,499,20461126
HSIC standardized multi-scale,1.8463715451602,0.084,7,null,N1_uniform_uniform,100,0,52,499,20461126
naive Euclidean-angle HSIC anti-example,0.0035448681733366,0.11,NA,null,N1_uniform_uniform,100,0,52,499,20461126
