method,statistic,p.value,retained_grid_points,kind,scenario,n,effect,repetition,B,seed
HSIC standardized multi-scale,2.26829552273069,0.042,7,null,N1_uniform_uniform,200,0,430,499,20564906
naive Euclidean-angle HSIC anti-example,0.000384172307290097,0.822,NA,null,N1_uniform_uniform,200,0,430,499,20564906
first-order trigonometric moment diagnostic,0.011771412842588,0.688,NA,null,N1_uniform_uniform,200,0,430,499,20564906
HSIC fixed,0.19272574189568,0.076,NA,null,N1_uniform_uniform,200,0,431,499,20564916
HSIC median,0.00211350603630989,0.06,NA,null,N1_uniform_uniform,200,0,431,499,20564916
HSIC standardized multi-scale,2.00078888318215,0.064,7,null,N1_uniform_uniform,200,0,431,499,20564916
naive Euclidean-angle HSIC anti-example,0.0022148086617708,0.044,NA,null,N1_uniform_uniform,200,0,431,499,20564916
first-order trigonometric moment diagnostic,0.0476438228680285,0.054,NA,null,N1_uniform_uniform,200,0,431,499,20564916
HSIC fixed,0.091752720706693,0.832,NA,null,N1_uniform_uniform,200,0,432,499,20564926
HSIC median,0.000624783778891182,0.736,NA,null,N1_uniform_uniform,200,0,432,499,20564926
HSIC standardized multi-scale,-0.111966882229701,0.724,6,null,N1_uniform_uniform,200,0,432,499,20564926
naive Euclidean-angle HSIC anti-example,0.000621674368144203,0.584,NA,null,N1_uniform_uniform,200,0,432,499,20564926
first-order trigonometric moment diagnostic,0.012261647301328,0.652,NA,null,N1_uniform_uniform,200,0,432,499,20564926
HSIC fixed,0.15909034496726,0.208,NA,null,N1_uniform_uniform,200,0,433,499,20564936
HSIC median,0.00116302144332999,0.3,NA,null,N1_uniform_uniform,200,0,433,499,20564936
HSIC standardized multi-scale,0.787867673882924,0.352,7,null,N1_uniform_uniform,200,0,433,499,20564936
naive Euclidean-angle HSIC anti-example,0.000400472391871092,0.83,NA,null,N1_uniform_uniform,200,0,433,499,20564936
first-order trigonometric moment diagnostic,0.019366813548186,0.396,NA,null,N1_uniform_uniform,200,0,433,499,20564936
HSIC fixed,0.170355584395278,0.142,NA,null,N1_uniform_uniform,200,0,434,499,20564946
HSIC median,0.00129387882446155,0.254,NA,null,N1_uniform_uniform,200,0,434,499,20564946
HSIC standardized multi-scale,1.09462614049099,0.24,7,null,N1_uniform_uniform,200,0,434,499,20564946
naive Euclidean-angle HSIC anti-example,0.00101922238546968,0.316,NA,null,N1_uniform_uniform,200,0,434,499,20564946
first-order trigonometric moment diagnostic,0.0246423502193277,0.328,NA,null,N1_uniform_uniform,200,0,434,499,20564946
HSIC fixed,0.113584225504839,0.592,NA,null,N1_uniform_uniform,200,0,435,499,20564956
HSIC median,0.000767753890383182,0.596,NA,null,N1_uniform_uniform,200,0,435,499,20564956
HSIC standardized multi-scale,-1.14139703674407,0.958,7,null,N1_uniform_uniform,200,0,435,499,20564956
naive Euclidean-angle HSIC anti-example,0.000474915666373845,0.728,NA,null,N1_uniform_uniform,200,0,435,499,20564956
first-order trigonometric moment diagnostic,0.0136518926950963,0.556,NA,null,N1_uniform_uniform,200,0,435,499,20564956
HSIC fixed,0.100438605111093,0.75,NA,null,N1_uniform_uniform,200,0,436,499,20564966
HSIC median,0.00035089680774486,0.914,NA,null,N1_uniform_uniform,200,0,436,499,20564966
HSIC standardized multi-scale,1.22147780015929,0.22,6,null,N1_uniform_uniform,200,0,436,499,20564966
naive Euclidean-angle HSIC anti-example,0.000175061093426539,0.978,NA,null,N1_uniform_uniform,200,0,436,499,20564966
first-order trigonometric moment diagnostic,0.00445074237228083,0.938,NA,null,N1_uniform_uniform,200,0,436,499,20564966
HSIC fixed,0.121135372456988,0.568,NA,null,N1_uniform_uniform,200,0,437,499,20564976
HSIC median,0.000936688442352514,0.49,NA,null,N1_uniform_uniform,200,0,437,499,20564976
HSIC standardized multi-scale,-0.0836143573177848,0.676,6,null,N1_uniform_uniform,200,0,437,499,20564976
naive Euclidean-angle HSIC anti-example,0.000681640508427806,0.596,NA,null,N1_uniform_uniform,200,0,437,499,20564976
first-order trigonometric moment diagnostic,0.0193346413140028,0.396,NA,null,N1_uniform_uniform,200,0,437,499,20564976
HSIC fixed,0.0794172287585643,0.922,NA,null,N1_uniform_uniform,200,0,438,499,20564986
HSIC median,0.000589209194499122,0.772,NA,null,N1_uniform_uniform,200,0,438,499,20564986
HSIC standardized multi-scale,-0.148775903214694,0.738,7,null,N1_uniform_uniform,200,0,438,499,20564986
naive Euclidean-angle HSIC anti-example,0.000607936400356076,0.584,NA,null,N1_uniform_uniform,200,0,438,499,20564986
first-order trigonometric moment diagnostic,0.0116922684934326,0.71,NA,null,N1_uniform_uniform,200,0,438,499,20564986
HSIC fixed,0.08410118510647,0.89,NA,null,N1_uniform_uniform,200,0,439,499,20564996
HSIC median,0.000365351595410912,0.932,NA,null,N1_uniform_uniform,200,0,439,499,20564996
HSIC standardized multi-scale,-0.283156210235046,0.758,7,null,N1_uniform_uniform,200,0,439,499,20564996
naive Euclidean-angle HSIC anti-example,0.000505584330562723,0.704,NA,null,N1_uniform_uniform,200,0,439,499,20564996
first-order trigonometric moment diagnostic,0.00441972501687213,0.934,NA,null,N1_uniform_uniform,200,0,439,499,20564996
HSIC fixed,0.1570837928959,0.24,NA,null,N1_uniform_uniform,200,0,440,499,20565006
HSIC median,0.00117132299551224,0.344,NA,null,N1_uniform_uniform,200,0,440,499,20565006
HSIC standardized multi-scale,1.911634464016,0.082,7,null,N1_uniform_uniform,200,0,440,499,20565006
naive Euclidean-angle HSIC anti-example,0.00104001197467002,0.332,NA,null,N1_uniform_uniform,200,0,440,499,20565006
first-order trigonometric moment diagnostic,0.0231673084186504,0.366,NA,null,N1_uniform_uniform,200,0,440,499,20565006
HSIC fixed,0.0954497096502195,0.788,NA,null,N1_uniform_uniform,200,0,441,499,20565016
HSIC median,0.000735185445939835,0.598,NA,null,N1_uniform_uniform,200,0,441,499,20565016
HSIC standardized multi-scale,-0.79453242673735,0.902,7,null,N1_uniform_uniform,200,0,441,499,20565016
naive Euclidean-angle HSIC anti-example,0.000462823506870766,0.77,NA,null,N1_uniform_uniform,200,0,441,499,20565016
first-order trigonometric moment diagnostic,0.0137889916662669,0.586,NA,null,N1_uniform_uniform,200,0,441,499,20565016
HSIC fixed,0.105492428589286,0.716,NA,null,N1_uniform_uniform,200,0,442,499,20565026
HSIC median,0.000408373652367333,0.894,NA,null,N1_uniform_uniform,200,0,442,499,20565026
HSIC standardized multi-scale,1.00781885296025,0.262,7,null,N1_uniform_uniform,200,0,442,499,20565026
naive Euclidean-angle HSIC anti-example,0.000455618031614111,0.774,NA,null,N1_uniform_uniform,200,0,442,499,20565026
first-order trigonometric moment diagnostic,0.00355714648046582,0.942,NA,null,N1_uniform_uniform,200,0,442,499,20565026
HSIC fixed,0.0938051824262612,0.794,NA,null,N1_uniform_uniform,200,0,443,499,20565036
HSIC median,0.000546642069365071,0.778,NA,null,N1_uniform_uniform,200,0,443,499,20565036
HSIC standardized multi-scale,-0.401242180551312,0.746,5,null,N1_uniform_uniform,200,0,443,499,20565036
naive Euclidean-angle HSIC anti-example,0.00028518421294887,0.896,NA,null,N1_uniform_uniform,200,0,443,499,20565036
first-order trigonometric moment diagnostic,0.00895021658809944,0.778,NA,null,N1_uniform_uniform,200,0,443,499,20565036
HSIC fixed,0.150133445922491,0.264,NA,null,N1_uniform_uniform,200,0,444,499,20565046
HSIC median,0.00194871973919043,0.08,NA,null,N1_uniform_uniform,200,0,444,499,20565046
HSIC standardized multi-scale,0.827693876021875,0.332,7,null,N1_uniform_uniform,200,0,444,499,20565046
naive Euclidean-angle HSIC anti-example,0.00323263625321095,0.018,NA,null,N1_uniform_uniform,200,0,444,499,20565046
first-order trigonometric moment diagnostic,0.0428439144431091,0.072,NA,null,N1_uniform_uniform,200,0,444,499,20565046
HSIC fixed,0.148655061868009,0.304,NA,null,N1_uniform_uniform,200,0,445,499,20565056
HSIC median,0.00135695085210531,0.246,NA,null,N1_uniform_uniform,200,0,445,499,20565056
HSIC standardized multi-scale,0.481882626870463,0.484,7,null,N1_uniform_uniform,200,0,445,499,20565056
naive Euclidean-angle HSIC anti-example,0.000979681459609924,0.34,NA,null,N1_uniform_uniform,200,0,445,499,20565056
first-order trigonometric moment diagnostic,0.0287016644301837,0.216,NA,null,N1_uniform_uniform,200,0,445,499,20565056
HSIC fixed,0.0698370967953587,0.948,NA,null,N1_uniform_uniform,200,0,446,499,20565066
HSIC median,0.000559926076689103,0.79,NA,null,N1_uniform_uniform,200,0,446,499,20565066
HSIC standardized multi-scale,-1.101322028978,0.974,7,null,N1_uniform_uniform,200,0,446,499,20565066
naive Euclidean-angle HSIC anti-example,0.000427379176486497,0.82,NA,null,N1_uniform_uniform,200,0,446,499,20565066
first-order trigonometric moment diagnostic,0.011458084977328,0.708,NA,null,N1_uniform_uniform,200,0,446,499,20565066
HSIC fixed,0.133522779358071,0.394,NA,null,N1_uniform_uniform,200,0,447,499,20565076
HSIC median,0.00154191728930875,0.182,NA,null,N1_uniform_uniform,200,0,447,499,20565076
HSIC standardized multi-scale,-0.0583123666117157,0.66,6,null,N1_uniform_uniform,200,0,447,499,20565076
naive Euclidean-angle HSIC anti-example,0.00114741314120496,0.298,NA,null,N1_uniform_uniform,200,0,447,499,20565076
first-order trigonometric moment diagnostic,0.0364503802534926,0.144,NA,null,N1_uniform_uniform,200,0,447,499,20565076
HSIC fixed,0.16364629903642,0.208,NA,null,N1_uniform_uniform,200,0,448,499,20565086
HSIC median,0.00184623767531205,0.104,NA,null,N1_uniform_uniform,200,0,448,499,20565086
HSIC standardized multi-scale,0.557511738999543,0.458,7,null,N1_uniform_uniform,200,0,448,499,20565086
naive Euclidean-angle HSIC anti-example,0.00281761751550848,0.016,NA,null,N1_uniform_uniform,200,0,448,499,20565086
first-order trigonometric moment diagnostic,0.0399401642635464,0.108,NA,null,N1_uniform_uniform,200,0,448,499,20565086
HSIC fixed,0.152170333506527,0.284,NA,null,N1_uniform_uniform,200,0,449,499,20565096
HSIC median,0.00119010663702258,0.296,NA,null,N1_uniform_uniform,200,0,449,499,20565096
HSIC standardized multi-scale,0.457858974490191,0.476,7,null,N1_uniform_uniform,200,0,449,499,20565096
naive Euclidean-angle HSIC anti-example,0.00148368111617134,0.19,NA,null,N1_uniform_uniform,200,0,449,499,20565096
first-order trigonometric moment diagnostic,0.0221074444492756,0.338,NA,null,N1_uniform_uniform,200,0,449,499,20565096
HSIC fixed,0.127340584499368,0.482,NA,null,N1_uniform_uniform,200,0,450,499,20565106
HSIC median,0.000748619281267298,0.672,NA,null,N1_uniform_uniform,200,0,450,499,20565106
HSIC standardized multi-scale,0.551664233061124,0.436,7,null,N1_uniform_uniform,200,0,450,499,20565106
naive Euclidean-angle HSIC anti-example,0.000430851655149435,0.788,NA,null,N1_uniform_uniform,200,0,450,499,20565106
first-order trigonometric moment diagnostic,0.0118645158025595,0.63,NA,null,N1_uniform_uniform,200,0,450,499,20565106
HSIC fixed,0.11647746460414,0.608,NA,null,N1_uniform_uniform,200,0,451,499,20565116
HSIC median,0.00129212313008636,0.234,NA,null,N1_uniform_uniform,200,0,451,499,20565116
HSIC standardized multi-scale,0.70050870892577,0.384,7,null,N1_uniform_uniform,200,0,451,499,20565116
naive Euclidean-angle HSIC anti-example,0.00103305080563208,0.32,NA,null,N1_uniform_uniform,200,0,451,499,20565116
first-order trigonometric moment diagnostic,0.0296672107056861,0.206,NA,null,N1_uniform_uniform,200,0,451,499,20565116
HSIC fixed,0.106517954468858,0.696,NA,null,N1_uniform_uniform,200,0,452,499,20565126
HSIC median,0.00070980290665938,0.638,NA,null,N1_uniform_uniform,200,0,452,499,20565126
HSIC standardized multi-scale,-0.826642734435401,0.91,6,null,N1_uniform_uniform,200,0,452,499,20565126
naive Euclidean-angle HSIC anti-example,0.00041639710099632,0.792,NA,null,N1_uniform_uniform,200,0,452,499,20565126
first-order trigonometric moment diagnostic,0.0118538591744121,0.702,NA,null,N1_uniform_uniform,200,0,452,499,20565126
HSIC fixed,0.141978422739306,0.31,NA,null,N1_uniform_uniform,200,0,453,499,20565136
HSIC median,0.000918428042201137,0.482,NA,null,N1_uniform_uniform,200,0,453,499,20565136
HSIC standardized multi-scale,0.011451185458381,0.646,6,null,N1_uniform_uniform,200,0,453,499,20565136
naive Euclidean-angle HSIC anti-example,0.000820419998565066,0.438,NA,null,N1_uniform_uniform,200,0,453,499,20565136
first-order trigonometric moment diagnostic,0.015553085783368,0.528,NA,null,N1_uniform_uniform,200,0,453,499,20565136
HSIC fixed,0.151494049393735,0.26,NA,null,N1_uniform_uniform,200,0,454,499,20565146
HSIC median,0.000832098402396348,0.552,NA,null,N1_uniform_uniform,200,0,454,499,20565146
HSIC standardized multi-scale,0.673844506178942,0.392,7,null,N1_uniform_uniform,200,0,454,499,20565146
naive Euclidean-angle HSIC anti-example,0.000291566271613112,0.914,NA,null,N1_uniform_uniform,200,0,454,499,20565146
first-order trigonometric moment diagnostic,0.0127006402232124,0.654,NA,null,N1_uniform_uniform,200,0,454,499,20565146
HSIC fixed,0.210575036958318,0.05,NA,null,N1_uniform_uniform,200,0,455,499,20565156
HSIC median,0.00249295523518409,0.026,NA,null,N1_uniform_uniform,200,0,455,499,20565156
HSIC standardized multi-scale,1.28128971641458,0.19,7,null,N1_uniform_uniform,200,0,455,499,20565156
naive Euclidean-angle HSIC anti-example,0.00181921712616553,0.08,NA,null,N1_uniform_uniform,200,0,455,499,20565156
first-order trigonometric moment diagnostic,0.0529667768337406,0.024,NA,null,N1_uniform_uniform,200,0,455,499,20565156
HSIC fixed,0.196715937142564,0.096,NA,null,N1_uniform_uniform,200,0,456,499,20565166
HSIC median,0.00226982198461567,0.046,NA,null,N1_uniform_uniform,200,0,456,499,20565166
HSIC standardized multi-scale,1.31123572742772,0.184,6,null,N1_uniform_uniform,200,0,456,499,20565166
naive Euclidean-angle HSIC anti-example,0.000625341432540914,0.584,NA,null,N1_uniform_uniform,200,0,456,499,20565166
first-order trigonometric moment diagnostic,0.0498653589712989,0.05,NA,null,N1_uniform_uniform,200,0,456,499,20565166
HSIC fixed,0.0844427276709636,0.884,NA,null,N1_uniform_uniform,200,0,457,499,20565176
HSIC median,0.00103341393729296,0.446,NA,null,N1_uniform_uniform,200,0,457,499,20565176
HSIC standardized multi-scale,-0.161874601106595,0.76,7,null,N1_uniform_uniform,200,0,457,499,20565176
naive Euclidean-angle HSIC anti-example,0.000358730161840015,0.844,NA,null,N1_uniform_uniform,200,0,457,499,20565176
first-order trigonometric moment diagnostic,0.0222171487762187,0.362,NA,null,N1_uniform_uniform,200,0,457,499,20565176
HSIC fixed,0.158799152081499,0.232,NA,null,N1_uniform_uniform,200,0,458,499,20565186
HSIC median,0.00119905220942759,0.322,NA,null,N1_uniform_uniform,200,0,458,499,20565186
HSIC standardized multi-scale,0.883727465169906,0.312,7,null,N1_uniform_uniform,200,0,458,499,20565186
naive Euclidean-angle HSIC anti-example,0.00121039047918843,0.266,NA,null,N1_uniform_uniform,200,0,458,499,20565186
first-order trigonometric moment diagnostic,0.0208743973268511,0.338,NA,null,N1_uniform_uniform,200,0,458,499,20565186
HSIC fixed,0.137298392726885,0.358,NA,null,N1_uniform_uniform,200,0,459,499,20565196
HSIC median,0.00115879276929102,0.38,NA,null,N1_uniform_uniform,200,0,459,499,20565196
HSIC standardized multi-scale,0.169714383918431,0.58,6,null,N1_uniform_uniform,200,0,459,499,20565196
naive Euclidean-angle HSIC anti-example,0.00156375378354825,0.16,NA,null,N1_uniform_uniform,200,0,459,499,20565196
first-order trigonometric moment diagnostic,0.0224936354342684,0.348,NA,null,N1_uniform_uniform,200,0,459,499,20565196
HSIC fixed,0.16799528244351,0.132,NA,null,N1_uniform_uniform,200,0,460,499,20565206
HSIC median,0.00190078821724513,0.112,NA,null,N1_uniform_uniform,200,0,460,499,20565206
HSIC standardized multi-scale,-0.426094458820113,0.792,6,null,N1_uniform_uniform,200,0,460,499,20565206
naive Euclidean-angle HSIC anti-example,0.00180445538133491,0.092,NA,null,N1_uniform_uniform,200,0,460,499,20565206
first-order trigonometric moment diagnostic,0.0397314174151804,0.092,NA,null,N1_uniform_uniform,200,0,460,499,20565206
HSIC fixed,0.108183421093684,0.636,NA,null,N1_uniform_uniform,200,0,461,499,20565216
HSIC median,0.000624864549133593,0.742,NA,null,N1_uniform_uniform,200,0,461,499,20565216
HSIC standardized multi-scale,-0.404763831300669,0.796,7,null,N1_uniform_uniform,200,0,461,499,20565216
naive Euclidean-angle HSIC anti-example,0.000428013233090269,0.784,NA,null,N1_uniform_uniform,200,0,461,499,20565216
first-order trigonometric moment diagnostic,0.0103968568584848,0.704,NA,null,N1_uniform_uniform,200,0,461,499,20565216
HSIC fixed,0.198336517631404,0.074,NA,null,N1_uniform_uniform,200,0,462,499,20565226
HSIC median,0.00213376335022104,0.07,NA,null,N1_uniform_uniform,200,0,462,499,20565226
HSIC standardized multi-scale,1.81334744834698,0.088,7,null,N1_uniform_uniform,200,0,462,499,20565226
naive Euclidean-angle HSIC anti-example,0.00169732849835511,0.114,NA,null,N1_uniform_uniform,200,0,462,499,20565226
first-order trigonometric moment diagnostic,0.0449733778744475,0.076,NA,null,N1_uniform_uniform,200,0,462,499,20565226
HSIC fixed,0.165487679306176,0.176,NA,null,N1_uniform_uniform,200,0,463,499,20565236
HSIC median,0.00198341454759727,0.078,NA,null,N1_uniform_uniform,200,0,463,499,20565236
HSIC standardized multi-scale,0.955042481643303,0.246,6,null,N1_uniform_uniform,200,0,463,499,20565236
naive Euclidean-angle HSIC anti-example,0.00126119243053095,0.224,NA,null,N1_uniform_uniform,200,0,463,499,20565236
first-order trigonometric moment diagnostic,0.0422706675170837,0.078,NA,null,N1_uniform_uniform,200,0,463,499,20565236
HSIC fixed,0.142229661238152,0.352,NA,null,N1_uniform_uniform,200,0,464,499,20565246
HSIC median,0.0009476773429875,0.464,NA,null,N1_uniform_uniform,200,0,464,499,20565246
HSIC standardized multi-scale,1.64244184869604,0.118,7,null,N1_uniform_uniform,200,0,464,499,20565246
naive Euclidean-angle HSIC anti-example,0.00106690289884157,0.338,NA,null,N1_uniform_uniform,200,0,464,499,20565246
first-order trigonometric moment diagnostic,0.0186315101471947,0.46,NA,null,N1_uniform_uniform,200,0,464,499,20565246
